sigma_meV,tau_c_s,T_K,F_readout
0.000,1.000e-12,1.0000,0.500000
0.000,1.000e-12,1.3010,0.500000
0.000,1.000e-12,1.6020,0.500000
0.000,1.000e-12,1.9030,0.500000
0.000,1.000e-12,2.2040,0.500005
0.000,1.000e-12,2.5050,0.500045
0.000,1.000e-12,2.8060,0.500259
0.000,1.000e-12,3.1070,0.501050
0.000,1.000e-12,3.4080,0.503323
0.000,1.000e-12,3.7090,0.508690
0.000,1.000e-12,4.0100,0.519539
0.000,1.000e-12,4.3110,0.538797
0.000,1.000e-12,4.6120,0.569282
0.000,1.000e-12,4.9130,0.612634
0.000,1.000e-12,5.2140,0.668111
0.000,1.000e-12,5.5151,0.731810
0.000,1.000e-12,5.8161,0.796981
0.000,1.000e-12,6.1171,0.855659
0.000,1.000e-12,6.4181,0.901060
0.000,1.000e-12,6.7191,0.929517
0.000,1.000e-12,7.0201,0.940933
0.000,1.000e-12,7.3211,0.937717
0.000,1.000e-12,7.6221,0.923106
0.000,1.000e-12,7.9231,0.899928
0.000,1.000e-12,8.2241,0.870218
0.000,1.000e-12,8.5251,0.835460
0.000,1.000e-12,8.8261,0.796992
0.000,1.000e-12,9.1271,0.756284
0.000,1.000e-12,9.4281,0.714993
0.000,1.000e-12,9.7291,0.674864
0.000,1.000e-09,1.0000,0.500000
0.000,1.000e-09,1.3010,0.500000
0.000,1.000e-09,1.6020,0.500000
0.000,1.000e-09,1.9030,0.500000
0.000,1.000e-09,2.2040,0.500005
0.000,1.000e-09,2.5050,0.500045
0.000,1.000e-09,2.8060,0.500259
0.000,1.000e-09,3.1070,0.501050
0.000,1.000e-09,3.4080,0.503323
0.000,1.000e-09,3.7090,0.508690
0.000,1.000e-09,4.0100,0.519539
0.000,1.000e-09,4.3110,0.538797
0.000,1.000e-09,4.6120,0.569282
0.000,1.000e-09,4.9130,0.612634
0.000,1.000e-09,5.2140,0.668111
0.000,1.000e-09,5.5151,0.731810
0.000,1.000e-09,5.8161,0.796981
0.000,1.000e-09,6.1171,0.855659
0.000,1.000e-09,6.4181,0.901060
0.000,1.000e-09,6.7191,0.929517
0.000,1.000e-09,7.0201,0.940933
0.000,1.000e-09,7.3211,0.937717
0.000,1.000e-09,7.6221,0.923106
0.000,1.000e-09,7.9231,0.899928
0.000,1.000e-09,8.2241,0.870218
0.000,1.000e-09,8.5251,0.835460
0.000,1.000e-09,8.8261,0.796992
0.000,1.000e-09,9.1271,0.756284
0.000,1.000e-09,9.4281,0.714993
0.000,1.000e-09,9.7291,0.674864
0.200,1.000e-12,1.0000,0.500000
0.200,1.000e-12,1.3010,0.500000
0.200,1.000e-12,1.6020,0.500000
0.200,1.000e-12,1.9030,0.500001
0.200,1.000e-12,2.2040,0.500009
0.200,1.000e-12,2.5050,0.500070
0.200,1.000e-12,2.8060,0.500364
