t_readout_s,T_K,P_err_default,P_err_small_barrier
1.000000e-09,0.10000,5.000000e-01,5.000000e-01
1.000000e-09,0.28082,5.000000e-01,4.999979e-01
1.000000e-09,0.46164,5.000000e-01,4.997347e-01
1.000000e-09,0.64247,5.000000e-01,4.977885e-01
1.000000e-09,0.82329,5.000000e-01,4.927665e-01
1.000000e-09,1.00411,5.000000e-01,4.846377e-01
1.000000e-09,1.18493,5.000000e-01,4.742065e-01
1.000000e-09,1.36575,5.000000e-01,4.624219e-01
1.000000e-09,1.54658,5.000000e-01,4.500727e-01
1.000000e-09,1.72740,5.000000e-01,4.377270e-01
1.000000e-09,1.90822,5.000000e-01,4.257620e-01
1.000000e-09,2.08904,5.000000e-01,4.144127e-01
1.000000e-09,2.26986,5.000000e-01,4.038146e-01
1.000000e-09,2.45068,5.000000e-01,3.940361e-01
1.000000e-09,2.63151,4.999999e-01,3.851006e-01
1.000000e-09,2.81233,4.999997e-01,3.770023e-01
1.000000e-09,2.99315,4.999994e-01,3.697163e-01
1.000000e-09,3.17397,4.999986e-01,3.632058e-01
1.000000e-09,3.35479,4.999972e-01,3.574271e-01
1.000000e-09,3.53562,4.999949e-01,3.523327e-01
1.000000e-09,3.71644,4.999910e-01,3.478739e-01
1.000000e-09,3.89726,4.999851e-01,3.440018e-01
1.000000e-09,4.07808,4.999764e-01,3.406691e-01
1.000000e-09,4.25890,4.999640e-01,3.378300e-01
1.000000e-09,4.43973,4.999469e-01,3.354415e-01
1.000000e-09,4.62055,4.999242e-01,3.334628e-01
1.000000e-09,4.80137,4.998945e-01,3.318560e-01
1.000000e-09,4.98219,4.998567e-01,3.305858e-01
1.000000e-09,5.16301,4.998096e-01,3.296197e-01
1.000000e-09,5.34384,4.997519e-01,3.289277e-01
1.000000e-09,5.52466,4.996822e-01,3.284822e-01
1.000000e-09,5.70548,4.995994e-01,3.282581e-01
1.000000e-09,5.88630,4.995024e-01,3.282325e-01
1.000000e-09,6.06712,4.993898e-01,3.283843e-01
1.000000e-09,6.24795,4.992609e-01,3.286945e-01
1.000000e-09,6.42877,4.991144e-01,3.291457e-01
1.000000e-09,6.60959,4.989497e-01,3.297223e-01
1.000000e-09,6.79041,4.987659e-01,3.304100e-01
1.000000e-09,6.97123,4.985624e-01,3.311959e-01
1.000000e-09,7.15205,4.983386e-01,3.320683e-01
1.000000e-09,7.33288,4.980942e-01,3.330167e-01
1.000000e-09,7.51370,4.978288e-01,3.340315e-01
1.000000e-09,7.69452,4.975422e-01,3.351042e-01
1.000000e-09,7.87534,4.972343e-01,3.362269e-01
1.000000e-09,8.05616,4.969051e-01,3.373926e-01
1.000000e-09,8.23699,4.965547e-01,3.385950e-01
1.000000e-09,8.41781,4.961832e-01,3.398285e-01
1.000000e-09,8.59863,4.957909e-01,3.410880e-01
1.000000e-09,8.77945,4.953782e-01,3.423687e-01
1.000000e-09,8.96027,4.949455e-01,3.436667e-01
1.000000e-09,9.14110,4.944932e-01,3.449781e-01
1.000000e-09,9.32192,4.940218e-01,3.462997e-01
1.000000e-09,9.50274,4.935320e-01,3.476285e-01
1.000000e-09,9.68356,4.930243e-01,3.489618e-01
1.000000e-09,9.86438,4.924995e-01,3.502972e-01
1.342313e-09,0.10000,5.000000e-01,5.000000e-01
1.342313e-09,0.28082,5.000000e-01,4.999972e-01
1.342313e-09,0.46164,5.000000e-01,4.996439e-01
1.342313e-09,0.64247,5.000000e-01,4.970338e-01
1.342313e-09,0.82329,5.000000e-01,4.903145e-01
1.342313e-09,1.00411,5.000000e-01,4.794881e-01
1.342313e-09,1.18493,5.000000e-01,4.656863e-01
1.342313e-09,1.36575,5.000000e-01,4.502187e-01
1.342313e-09,1.54658,5.000000e-01,4.341555e-01
1.342313e-09,1.72740,5.000000e-01,4.182501e-01
1.342313e-09,1.90822,5.000000e-01,4.029877e-01
1.342313e-09,2.08904,5.000000e-01,3.886574e-01
1.342313e-09,2.26986,5.000000e-01,3.754147e-01
1.342313e-09,2.45068,5.000000e-01,3.633272e-01
1.342313e-09,2.63151,4.999999e-01,3.524055e-01
1.342313e-09,2.81233,4.999996e-01,3.426245e-01
1.342313e-09,2.99315,4.999991e-01,3.339366e-01
1.342313e-09,3.17397,4.999981e-01,3.262816e-01
1.342313e-09,3.35479,4.999963e-01,3.195920e-01
