T_K,Gamma0_Hz,Gamma1_Hz,ratio_G1_over_G0
0.10000,1.631716e-281,4.052255e-168,2.483431e+113
0.12481,6.621774e-224,4.716681e-133,7.122988e+90
0.14962,2.103894e-185,1.287261e-109,6.118470e+75
0.17444,7.445674e-158,7.560496e-93,1.015421e+65
0.19925,3.627052e-137,2.958235e-80,8.156033e+56
0.22406,4.627804e-121,1.881811e-70,4.066316e+50
0.24887,3.628804e-108,1.328417e-62,3.660756e+45
0.27368,1.306648e-97,3.539697e-56,2.708991e+41
0.29850,8.271537e-89,8.060405e-51,9.744748e+37
0.32331,2.333980e-81,2.763442e-46,1.184004e+35
0.34812,5.708842e-75,2.138320e-42,3.745628e+32
0.37293,1.972072e-69,5.026404e-39,2.548793e+30
0.39774,1.387745e-64,4.485807e-36,3.232444e+28
0.42256,2.632874e-60,1.802661e-33,6.846740e+26
0.44737,1.674954e-56,3.725051e-31,2.223972e+25
0.47218,4.244604e-53,4.395733e-29,1.035605e+24
0.49699,4.918163e-50,3.221469e-27,6.550147e+22
0.52180,2.913285e-47,1.569319e-25,5.386770e+21
0.54662,9.666224e-45,5.372252e-24,5.557756e+20
0.57143,1.937371e-42,1.353153e-22,6.984481e+19
0.59624,2.497934e-40,2.605667e-21,1.043129e+19
0.62105,2.184360e-38,3.961407e-20,1.813532e+18
0.64586,1.354803e-36,4.886166e-19,3.606549e+17
0.67068,6.191497e-35,5.004422e-18,8.082733e+16
0.69549,2.154158e-33,4.341574e-17,2.015439e+16
0.72030,5.868962e-32,3.245624e-16,5.530150e+15
0.74511,1.283087e-30,2.122094e-15,1.653897e+15
0.76992,2.299340e-29,1.229339e-14,5.346484e+14
0.79474,3.441045e-28,6.381782e-14,1.854606e+14
0.81955,4.371449e-27,2.998489e-13,6.859256e+13
0.84436,4.782786e-26,1.286385e-12,2.689615e+13
0.86917,4.564711e-25,5.078434e-12,1.112542e+13
0.89398,3.843809e-24,1.857742e-11,4.833076e+12
0.91880,2.884911e-23,6.336066e-11,2.196278e+12
0.94361,1.947455e-22,2.025967e-10,1.040315e+12
0.96842,1.192081e-21,6.103478e-10,5.120020e+11
0.99323,6.665485e-21,1.740176e-09,2.610727e+11
1.01805,3.427047e-20,4.714434e-09,1.375655e+11
1.04286,1.629939e-19,1.218062e-08,7.473054e+10
1.06767,7.210160e-19,3.011266e-08,4.176420e+10
1.09248,2.981160e-18,7.144529e-08,2.396560e+10
1.11729,1.157302e-17,1.631296e-07,1.409568e+10
1.14211,4.235587e-17,3.593458e-07,8.483968e+09
1.16692,1.466961e-16,7.654327e-07,5.217811e+09
1.19173,4.824569e-16,1.579890e-06,3.274677e+09
1.21654,1.511499e-15,3.165987e-06,2.094601e+09
1.24135,4.524088e-15,6.170541e-06,1.363930e+09
1.26617,1.297161e-14,1.171599e-05,9.032022e+08
1.29098,3.571678e-14,2.170356e-05,6.076572e+08
1.31579,9.465880e-14,3.928122e-05,4.149769e+08
1.34060,2.419809e-13,6.955071e-05,2.874223e+08
1.36541,5.978426e-13,1.206148e-04,2.017501e+08
1.39023,1.430116e-12,2.050998e-04,1.434147e+08
1.41504,3.317969e-12,3.423293e-04,1.031743e+08
1.43985,7.477843e-12,5.613777e-04,7.507214e+07
1.46466,1.639546e-11,9.052913e-04,5.521596e+07
1.48947,3.501965e-11,1.436836e-03,4.102942e+07
1.51429,7.296241e-11,2.246217e-03,3.078595e+07
1.53910,1.484595e-10,3.461304e-03,2.331480e+07
1.56391,2.953437e-10,5.261009e-03,1.781317e+07
1.58872,5.750649e-10,7.892579e-03,1.372468e+07
1.61353,1.096998e-09,1.169368e-02,1.065971e+07
1.63835,2.052103e-09,1.712034e-02,8.342830e+06
1.66316,3.767704e-09,2.478185e-02,6.577441e+06
1.68797,6.795114e-09,3.548402e-02,5.221990e+06
1.71278,1.204748e-08,5.028230e-02,4.173677e+06
1.73759,2.101325e-08,7.054628e-02,3.357229e+06
1.76241,3.608174e-08,9.803753e-02,2.717096e+06
1.78722,6.103267e-08,1.350027e-01,2.211974e+06
1.81203,1.017620e-07,1.842837e-01,1.810928e+06
1.83684,1.673443e-07,2.494483e-01,1.490629e+06
1.86165,2.715676e-07,3.349417e-01,1.233364e+06
1.88647,4.351246e-07,4.462631e-01,1.025598e+06
1.91128,6.887058e-07,5.901699e-01,8.569260e+05
1.93609,1.077314e-06,7.749111e-01,7.192991e+05
1.96090,1.666226e-06,1.010494e+00,6.064567e+05
1.98571,2.549131e-06,1.308984e+00,5.135021e+05
2.01053,3.859160e-06,1.684848e+00,4.365842e+05
2.03534,5.783654e-06,2.155333e+00,3.726594e+05
2.06015,8.583798e-06,2.740892e+00,3.193099e+05
2.08496,1.262046e-05,3.465652e+00,2.746058e+05
2.10977,1.838797e-05,4.357942e+00,2.369996e+05
2.13459,2.655781e-05,5.450858e+00,2.052450e+05
2.15940,3.803485e-05,6.782892e+00,1.783336e+05
2.18421,5.402902e-05,8.398617e+00,1.554464e+05
2.20902,7.614615e-05,1.034942e+01,1.359152e+05
2.23383,1.065022e-04,1.269432e+01,1.191931e+05
2.25865,1.478657e-04,1.550080e+01,1.048303e+05
2.28346,2.038353e-04,1.884576e+01,9.245579e+04
2.30827,2.790579e-04,2.281649e+01,8.176254e+04
2.33308,3.794965e-04,2.751172e+01,7.249532e+04
2.35789,5.127566e-04,3.304277e+01,6.444143e+04
2.38271,6.884821e-04,3.953467e+01,5.742295e+04
2.40752,9.188318e-04,4.712747e+01,5.129064e+04
2.43233,1.219052e-03,5.597750e+01,4.591888e+04
2.45714,1.608157e-03,6.625879e+01,4.120168e+04
2.48195,2.109743e-03,7.816445e+01,3.704928e+04
2.50677,2.752939e-03,9.190824e+01,3.338550e+04
2.53158,3.573537e-03,1.077260e+02,3.014550e+04
2.55639,4.615306e-03,1.258775e+02,2.727392e+04
2.58120,5.931531e-03,1.466478e+02,2.472342e+04
2.60602,7.586792e-03,1.703491e+02,2.245337e+04
2.63083,9.659026e-03,1.973226e+02,2.042883e+04
