sweep_type,param_value,T_opt_K,F_opt
barrier_gap,0.300,8.974837418709354,0.6267935196017609
barrier_gap,0.396,8.885692846423211,0.6491790386124472
barrier_gap,0.492,8.79159579789895,0.6714404572400849
barrier_gap,0.588,8.697498749374688,0.6934896995815868
barrier_gap,0.684,8.603401700850426,0.7152381411304263
barrier_gap,0.780,8.509304652326163,0.736595393855911
barrier_gap,0.876,8.410255127563783,0.7574714960560562
barrier_gap,0.971,8.311205602801401,0.7777782942187645
barrier_gap,1.067,8.2072036018009,0.7974311782238439
barrier_gap,1.163,8.1032016008004,0.8163489657942794
barrier_gap,1.259,7.994247123561781,0.8344567290810894
barrier_gap,1.355,7.885292646323162,0.8516870088485966
barrier_gap,1.451,7.776338169084543,0.8679804453060701
barrier_gap,1.547,7.662431215607804,0.8832866715744692
barrier_gap,1.643,7.548524262131066,0.8975662750098075
barrier_gap,1.739,7.429664832416209,0.9107918342092038
barrier_gap,1.835,7.310805402701351,0.9229461804395716
barrier_gap,1.931,7.186993496748374,0.9340265075496499
barrier_gap,2.027,7.058229114557279,0.9440397027665792
barrier_gap,2.122,6.9344172086043026,0.9530068904607281
barrier_gap,2.218,6.800700350175088,0.9609587026507009
barrier_gap,2.314,6.671935967983992,0.9679373740359296
barrier_gap,2.410,6.533266633316659,0.9739943618228899
barrier_gap,2.506,6.394597298649325,0.9791885443224805
barrier_gap,2.602,6.255927963981991,0.9835864453021365
barrier_gap,2.698,6.112306153076538,0.987258309022745
barrier_gap,2.794,5.968684342171086,0.9902781661871176
barrier_gap,2.890,5.820110055027514,0.992721496348241
barrier_gap,2.986,5.666583291645823,0.9946631523767053
barrier_gap,3.082,5.513056528264133,0.9961757506779981
barrier_gap,3.178,5.354577288644323,0.9973286634000861
barrier_gap,3.273,5.1960980490245126,0.9981863572461935
barrier_gap,3.369,5.032666333166583,0.998807292831537
barrier_gap,3.465,4.8692346173086545,0.9992432867773683
barrier_gap,3.561,4.700850425212606,0.9995390641238182
barrier_gap,3.657,4.527513756878439,0.9997319933002472
barrier_gap,3.753,4.354177088544272,0.9998522482082335
barrier_gap,3.849,4.175887943971986,0.9999234289886698
barrier_gap,3.945,3.992646323161581,0.999963081493737
barrier_gap,4.041,3.809404702351176,0.9999836460999544
